 UPDATE  The latest version of `serve` is 14.2.6
 INFO  Accepting connections at http://localhost:4173
 HTTP  7/3/2026 4:42:26 pm ::1 GET /
 HTTP  7/3/2026 4:42:26 pm ::1 Returned 200 in 58 ms
 HTTP  7/3/2026 4:42:26 pm ::1 GET /_expo/static/js/web/entry-360b826c37bdc18b6f59b03f2011fb98.js
 HTTP  7/3/2026 4:42:26 pm ::1 Returned 200 in 25 ms
 HTTP  7/3/2026 4:42:26 pm ::1 GET /favicon.ico
 HTTP  7/3/2026 4:42:26 pm ::1 Returned 200 in 4 ms
 HTTP  7/3/2026 4:42:26 pm ::1 GET /assets/assets/images/logo-glow.dbca075a49dc45e550c5d2e3e9601039.png
 HTTP  7/3/2026 4:42:26 pm ::1 HEAD /
 HTTP  7/3/2026 4:42:26 pm ::1 Returned 304 in 4 ms
 HTTP  7/3/2026 4:42:26 pm ::1 HEAD /
 HTTP  7/3/2026 4:42:26 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:42:26 pm ::1 Returned 200 in 16 ms
 HTTP  7/3/2026 4:42:27 pm ::1 GET /assets/assets/images/icon.60bae712bdd8adad2bc0ac5d33ad0531.png
 HTTP  7/3/2026 4:42:27 pm ::1 Returned 200 in 3 ms
 HTTP  7/3/2026 4:43:27 pm ::1 HEAD /
 HTTP  7/3/2026 4:43:27 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:44:27 pm ::1 HEAD /
 HTTP  7/3/2026 4:44:27 pm ::1 Returned 200 in 229 ms
 HTTP  7/3/2026 4:45:28 pm ::1 HEAD /
 HTTP  7/3/2026 4:45:28 pm ::1 Returned 200 in 65 ms
 HTTP  7/3/2026 4:46:28 pm ::1 HEAD /
 HTTP  7/3/2026 4:46:28 pm ::1 Returned 200 in 100 ms
 HTTP  7/3/2026 4:46:43 pm ::1 GET /
 HTTP  7/3/2026 4:46:43 pm ::1 Returned 200 in 24 ms
 HTTP  7/3/2026 4:46:43 pm ::1 GET /_expo/static/js/web/entry-90d754d55e2b0ff395b17ba7c0113c04.js
 HTTP  7/3/2026 4:46:43 pm ::1 Returned 200 in 21 ms
 HTTP  7/3/2026 4:46:44 pm ::1 GET /assets/assets/images/logo-glow.dbca075a49dc45e550c5d2e3e9601039.png
 HTTP  7/3/2026 4:46:44 pm ::1 HEAD /
 HTTP  7/3/2026 4:46:44 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:46:44 pm ::1 Returned 304 in 10 ms
 HTTP  7/3/2026 4:46:44 pm ::1 HEAD /
 HTTP  7/3/2026 4:46:44 pm ::1 Returned 304 in 1 ms
 HTTP  7/3/2026 4:46:44 pm ::1 GET /assets/assets/images/icon.60bae712bdd8adad2bc0ac5d33ad0531.png
 HTTP  7/3/2026 4:46:44 pm ::1 Returned 304 in 4 ms
 HTTP  7/3/2026 4:47:30 pm ::1 GET /
 HTTP  7/3/2026 4:47:30 pm ::1 Returned 304 in 3 ms
 HTTP  7/3/2026 4:47:30 pm ::1 GET /_expo/static/js/web/entry-90d754d55e2b0ff395b17ba7c0113c04.js
 HTTP  7/3/2026 4:47:30 pm ::1 Returned 304 in 1 ms
 HTTP  7/3/2026 4:47:30 pm ::1 GET /assets/assets/images/logo-glow.dbca075a49dc45e550c5d2e3e9601039.png
